"","title","writer","written","rating","word","sentiment"
"235","Wonderful Experience","sharonmort2019","Oct 2020",5,"lucky","joy"
"236","Wonderful Experience","sharonmort2019","Oct 2020",5,"lucky","positive"
"237","Wonderful Experience","sharonmort2019","Oct 2020",5,"lucky","surprise"
"238","Wonderful Experience","sharonmort2019","Oct 2020",5,"wonderful","joy"
"239","Wonderful Experience","sharonmort2019","Oct 2020",5,"wonderful","positive"
"240","Wonderful Experience","sharonmort2019","Oct 2020",5,"wonderful","surprise"
"241","Wonderful Experience","sharonmort2019","Oct 2020",5,"wonderful","trust"
"242","Wonderful Experience","sharonmort2019","Oct 2020",5,"relics","sadness"
"243","Wonderful Experience","sharonmort2019","Oct 2020",5,"worth","positive"
"244","Wonderful Experience","sharonmort2019","Oct 2020",5,"visit","positive"
"245","Wonderful Experience","sharonmort2019","Oct 2020",5,"building","positive"
"246","Perfect visit","Luisa I","Oct 2020",5,"explore","anticipation"
"247","Perfect visit","Luisa I","Oct 2020",5,"beautiful","joy"
"248","Perfect visit","Luisa I","Oct 2020",5,"beautiful","positive"
"249","Perfect visit","Luisa I","Oct 2020",5,"beautiful","joy"
"250","Perfect visit","Luisa I","Oct 2020",5,"beautiful","positive"
"251","Perfect visit","Luisa I","Oct 2020",5,"unique","positive"
"252","Perfect visit","Luisa I","Oct 2020",5,"unique","surprise"
"253","History of the world","Amelia.p","Oct 2020",5,"unique","positive"
"254","History of the world","Amelia.p","Oct 2020",5,"unique","surprise"
"255","Love the British Museum","HoppyFace","Oct 2020",5,"rainy","sadness"
"256","Love the British Museum","HoppyFace","Oct 2020",5,"love","joy"
"257","Love the British Museum","HoppyFace","Oct 2020",5,"love","positive"
"258","Love the British Museum","HoppyFace","Oct 2020",5,"quiet","positive"
"259","Love the British Museum","HoppyFace","Oct 2020",5,"quiet","sadness"
"260","Give back the Parthenon sculptures ","<U+0391><U+039A><U+0391><U+039B><U+0391><U+039D>T<U+0399>S","Oct 2020",5,"visit","positive"
"261","Give back the Parthenon sculptures ","<U+0391><U+039A><U+0391><U+039B><U+0391><U+039D>T<U+0399>S","Oct 2020",5,"time","anticipation"
"262","Give back the Parthenon sculptures ","<U+0391><U+039A><U+0391><U+039B><U+0391><U+039D>T<U+0399>S","Oct 2020",5,"favorite","joy"
"263","Give back the Parthenon sculptures ","<U+0391><U+039A><U+0391><U+039B><U+0391><U+039D>T<U+0399>S","Oct 2020",5,"favorite","positive"
"264","Give back the Parthenon sculptures ","<U+0391><U+039A><U+0391><U+039B><U+0391><U+039D>T<U+0399>S","Oct 2020",5,"favorite","trust"
"265","Not my cup of tea","damasust","Oct 2020",1,"prefer","positive"
"266","Not my cup of tea","damasust","Oct 2020",1,"prefer","trust"
"267","Breath Taking Architecture","Mike B","Oct 2020",5,"visit","positive"
"268","Breath Taking Architecture","Mike B","Oct 2020",5,"architecture","trust"
"269","Breath Taking Architecture","Mike B","Oct 2020",5,"friend","joy"
"270","Breath Taking Architecture","Mike B","Oct 2020",5,"friend","positive"
"271","Breath Taking Architecture","Mike B","Oct 2020",5,"friend","trust"
"272","Breath Taking Architecture","Mike B","Oct 2020",5,"visit","positive"
"273","Breath Taking Architecture","Mike B","Oct 2020",5,"cherry","positive"
"274","Always worth a visit","Elaine N","Oct 2020",4,"ground","trust"
"275","Always worth a visit","Elaine N","Oct 2020",4,"public","anticipation"
"276","Always worth a visit","Elaine N","Oct 2020",4,"public","positive"
"277","Amazing","Ms Blue94","Oct 2020",5,"friendly","anticipation"
"278","Amazing","Ms Blue94","Oct 2020",5,"friendly","joy"
"279","Amazing","Ms Blue94","Oct 2020",5,"friendly","positive"
"280","Amazing","Ms Blue94","Oct 2020",5,"friendly","trust"
"281","Amazing","Ms Blue94","Oct 2020",5,"organization","anticipation"
"282","Amazing","Ms Blue94","Oct 2020",5,"organization","joy"
"283","Amazing","Ms Blue94","Oct 2020",5,"organization","positive"
"284","Amazing","Ms Blue94","Oct 2020",5,"organization","surprise"
"285","Amazing","Ms Blue94","Oct 2020",5,"organization","trust"
"286","Fantastic","Belinda M","Oct 2020",5,"visitor","anticipation"
"287","Fantastic","Belinda M","Oct 2020",5,"visitor","joy"
"288","Fantastic","Belinda M","Oct 2020",5,"visitor","positive"
"289","Fantastic","Belinda M","Oct 2020",5,"visit","positive"
"290","Fantastic","Belinda M","Oct 2020",5,"ground","trust"
"291","Beautiful","Manuela E","Oct 2020",5,"beautiful","joy"
"292","Beautiful","Manuela E","Oct 2020",5,"beautiful","positive"
"293","Beautiful","Manuela E","Oct 2020",5,"ground","trust"
"294","Beautiful","Manuela E","Oct 2020",5,"public","anticipation"
"295","Beautiful","Manuela E","Oct 2020",5,"public","positive"
"296","Go to the Victoria and Albert museum instead loads of history and exhibition s relivate today","Theresa M","Oct 2020",2,"main","positive"
"297","Go to the Victoria and Albert museum instead loads of history and exhibition s relivate today","Theresa M","Oct 2020",2,"decent","positive"
"298","fantastic","martaflour","Oct 2020",5,"valuable","positive"
"299","fantastic","martaflour","Oct 2020",5,"essential","positive"
"300","fantastic","martaflour","Oct 2020",5,"explore","anticipation"
"301","The history of the work under one roof","Hstevens282","Oct 2020",5,"wonderful","joy"
"302","The history of the work under one roof","Hstevens282","Oct 2020",5,"wonderful","positive"
"303","The history of the work under one roof","Hstevens282","Oct 2020",5,"wonderful","surprise"
"304","The history of the work under one roof","Hstevens282","Oct 2020",5,"wonderful","trust"
"305","The history of the work under one roof","Hstevens282","Oct 2020",5,"including","positive"
"306","The history of the work under one roof","Hstevens282","Oct 2020",5,"stone","anger"
"307","The history of the work under one roof","Hstevens282","Oct 2020",5,"stone","negative"
"308","The history of the work under one roof","Hstevens282","Oct 2020",5,"ancient","negative"
"309","Read for advice on COVID-19 entry requirements!","Joyce","Oct 2020",4,"time","anticipation"
"310","Now is a great time to visit","Sian248","Oct 2020",5,"fascinating","positive"
"311","Now is a great time to visit","Sian248","Oct 2020",5,"visit","positive"
"312","Now is a great time to visit","Sian248","Oct 2020",5,"fortunate","positive"
"313","Now is a great time to visit","Sian248","Oct 2020",5,"time","anticipation"
